subtree,dim,model,optimizer,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,grad_norm_mean,grad_norm_std,avg_param_norm_mean,avg_param_norm_std,max_param_norm_mean,max_param_norm_std,projection_count_mean,projection_count_std,clipping_count_mean,clipping_count_std,runtime_sec_mean,runtime_sec_std
ANIMAL.N.01,2.0,euclidean_lr,adam,0.09640699298299077,0.001167207380327608,0.09687345723311101,0.001764058124582742,0.9511051574012056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012636235620909235,0.0007631104139793425,11.46402390797933,0.5489687994220077,11.46402390797933,0.5489687994220077,0.0,0.0,0.0,0.0,1.151632058667019,0.004818755794977236
ANIMAL.N.01,2.0,euclidean_lr,sgd,0.14575219839683087,0.0002911477342682866,0.14604126413663224,0.00018404572666670067,0.9511051574012056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02157046324828693,0.0004976888390040555,1.6000763575236003,0.012281503152773491,1.6000763575236003,0.012281503152773491,0.0,0.0,0.0,0.0,1.1498852000028517,0.11946676993025328
ANIMAL.N.01,2.0,hyperbolic_mlr,projected_adam,0.03194837349434333,0.006381917555289763,0.21795807157953576,0.3286580453357616,0.9649272361931437,0.040605145575666406,0.6247559629999042,0.37299992919949193,0.7027812370278124,0.42279336017900354,0.6606394067161311,0.3942250333533352,0.6762332178591423,0.4041327940879649,0.6857849359512329,0.02744474284299167,0.8894652724266052,0.06958042003912589,1078.0,895.2312550397244,1.0,1.0,2.1233667003398295,0.1058034147242099
ANIMAL.N.01,2.0,hyperbolic_mlr,projected_sgd,0.04588970783123653,0.02310441657663495,0.04303835580746327,0.02509435044065671,0.9796220747325904,0.018785429017128662,0.9056225691159465,0.08236967988578857,0.689082606890826,0.47519145461017337,0.687458411841186,0.38191396037902936,0.5823212827494667,0.1359707596980235,0.7769611477851868,0.19880736081136274,1.0448923110961914,0.2713545782062585,112.0,140.75510647930327,1.0,1.7320508075688772,2.2171187476681857,0.3413681936986985
ANIMAL.N.01,2.0,hyperbolic_mlr,radam,0.0277640169118214,0.0007973410822452614,0.027316304544607733,0.0007209244558177905,0.9898313341046094,0.00139251009267853,0.8545176928191601,0.009851883357227668,0.9551681195516811,0.04863169163080106,0.9014573987406646,0.016928015383132357,0.5187616996264954,0.07875964735615072,0.6307922601699829,0.039449325521753044,0.8401222825050354,0.004135840063718738,0.0,0.0,0.0,0.0,2.2875519593265685,0.17369073815840816
ANIMAL.N.01,2.0,hyperbolic_mlr,rsgd,0.02935212157639003,0.0008944641093666327,0.028546765446662865,0.001838797270069929,0.9892224319551847,0.0005996990684890752,0.8577720735472661,0.00781583945925905,0.9348277293482772,0.02642722132402989,0.8944348925986999,0.007982596920003719,0.37133918736671895,0.03843118763082022,0.8342998027801514,0.07307358825985992,1.2096952199935913,0.11210703573724978,0.0,0.0,0.0,0.0,2.1855732826613044,0.29162712697753157
ANIMAL.N.01,2.0,logmap_lr,adam,0.09576263066648345,0.0012018828374661934,0.0955546970168749,0.0021653044784550814,0.9511051574012056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05741188152185877,0.003288245179007052,2.1369150479634604,0.10342650977885585,2.1369150479634604,0.10342650977885585,0.0,0.0,0.0,0.0,1.2859141799951128,0.10182550528500184
ANIMAL.N.01,2.0,logmap_lr,sgd,0.1361011182835847,7.409693979863016e-05,0.1365132133165995,0.0006381955032226979,0.9511051574012056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06407290843440823,0.002884578675106217,0.39649032553037006,0.004163950559606614,0.39649032553037006,0.004163950559606614,0.0,0.0,0.0,0.0,1.1094965396720606,0.0025982642198469083
ANIMAL.N.01,3.0,euclidean_lr,adam,0.04606047683266353,0.0016756398530970644,0.045576170086860636,0.0024877691446158153,0.9956362012624571,0.0008311755963970734,0.9353053826612271,0.017074265566147107,0.9788293897882939,0.01867995018679952,0.9563986489559645,0.008348530207625857,0.008440033098890366,0.0004927516897843739,16.470405260721844,0.7550913494997912,16.470405260721844,0.7550913494997912,0.0,0.0,0.0,0.0,1.2800156339944806,0.22241583678863325
ANIMAL.N.01,3.0,euclidean_lr,sgd,0.1361942315806199,0.0008125478744398339,0.13565838833649949,0.0008541711085918456,0.9511051574012056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024418360887535965,0.00022763064384967026,1.8729960123697917,0.032020030691206625,1.8729960123697917,0.032020030691206625,0.0,0.0,0.0,0.0,1.1271486003339912,0.07637177715180223
ANIMAL.N.01,3.0,hyperbolic_mlr,projected_adam,0.009847058581082499,0.006242716377044149,0.007635285456975266,0.0014161030954325028,0.998782195701151,0.0008055018300750469,0.9833860960623237,0.017957474858408574,0.9921129099211291,0.004003175907427572,0.9876570867179434,0.00802747356050537,0.20746121813536225,0.15447255098078938,0.7224593162536621,0.12149446559562332,0.9144096573193868,0.15102661743328577,384.6666666666667,282.9033992961791,0.3333333333333333,0.5773502691896258,2.1336420966739147,0.26306611416202935
ANIMAL.N.01,3.0,hyperbolic_mlr,projected_sgd,0.06792252221861438,0.11159157437769812,0.0682241085451096,0.11094679280127204,0.983275487629138,0.0278607390936581,0.6633462757313392,0.5744868086702534,0.6612702366127023,0.5726771621813415,0.6623034640116159,0.57357370515975,0.2597049201622134,0.21478552129268322,0.6083410183588663,0.11093140528653128,0.8873681227366129,0.10209458288600058,390.6666666666667,155.66095635493613,5.333333333333333,5.773502691896257,1.9273507893376518,0.005308681090047004
