subtree,dim,optimizer,seed_variance,mean_projection_count,std_projection_count,mean_clipping_count,mean_grad_norm,runtime_per_epoch
ANIMAL.N.01,2.0,adam,0.0,0.0,0.0,0.0,0.035024058571384,1.2187731193310658
ANIMAL.N.01,2.0,projected_adam,0.15541337692243823,1078.0,895.2312550397244,1.0,0.6762332178591423,2.1233667003398295
ANIMAL.N.01,2.0,projected_sgd,0.14585827313239483,112.0,140.75510647930327,1.0,0.5823212827494667,2.2171187476681857
ANIMAL.N.01,2.0,radam,0.0002865577048115657,0.0,0.0,0.0,0.5187616996264954,2.2875519593265685
ANIMAL.N.01,2.0,rsgd,6.372185358725286e-05,0.0,0.0,0.0,0.37133918736671895,2.1855732826613044
ANIMAL.N.01,2.0,sgd,0.0,0.0,0.0,0.0,0.04282168584134758,1.1296908698374561
ANIMAL.N.01,3.0,adam,0.00031857566383022433,0.0,0.0,0.0,0.021802170426966933,1.2549355069980568
ANIMAL.N.01,3.0,projected_adam,6.444033176461276e-05,384.6666666666667,282.9033992961791,0.3333333333333333,0.20746121813536225,2.1336420966739147
ANIMAL.N.01,3.0,projected_sgd,0.3289867952506839,390.6666666666667,155.66095635493613,5.333333333333333,0.2597049201622134,1.9273507893376518
ANIMAL.N.01,3.0,radam,1.2999748042672388e-05,0.0,0.0,0.0,0.07884999718160528,2.572516480004803
ANIMAL.N.01,3.0,rsgd,2.8450115557981546e-05,0.0,0.0,0.0,0.14751479387130514,2.162824159003018
ANIMAL.N.01,3.0,sgd,0.0,0.0,0.0,0.0,0.043014495143618416,1.1470292898350938
ANIMAL.N.01,5.0,adam,0.00013550999733641668,0.0,0.0,0.0,0.014141534183100468,1.2936579781671753
ANIMAL.N.01,5.0,projected_adam,2.69905960453303e-06,152.33333333333334,162.27856707936922,0.0,0.08464908021361904,1.998033928995331
ANIMAL.N.01,5.0,projected_sgd,0.0024513531036907616,3.3333333333333335,2.3094010767585034,0.0,0.18510427745314004,1.949841924002006
ANIMAL.N.01,5.0,radam,1.2779965335252017e-05,0.0,0.0,0.0,0.10393654842957119,2.299321695997302
ANIMAL.N.01,5.0,rsgd,2.712563595560472e-06,0.0,0.0,0.0,0.12705672284602393,2.027965330334458
ANIMAL.N.01,5.0,sgd,0.036003260814815516,0.0,0.0,0.0,0.03951063425619678,1.3558588623369967
ANIMAL.N.01,10.0,adam,7.666293896083938e-06,0.0,0.0,0.0,0.004581868097203216,1.308416227834338
ANIMAL.N.01,10.0,projected_adam,0.005313264938440376,0.0,0.0,0.0,0.059121723544530234,2.0831768356632288
ANIMAL.N.01,10.0,projected_sgd,5.185638045350298e-07,0.0,0.0,0.0,0.025323276554729365,2.1222764326666947
ANIMAL.N.01,10.0,radam,2.4469965764433048e-06,0.0,0.0,0.0,0.04847145319349013,2.2851156299972595
ANIMAL.N.01,10.0,rsgd,1.302075696655052e-07,0.0,0.0,0.0,0.043605038296725906,2.043933194664229
ANIMAL.N.01,10.0,sgd,0.2916125864630682,0.0,0.0,0.0,0.03105860051655553,1.1945462063304149
GROUP.N.01,2.0,adam,0.01076202420614589,0.0,0.0,0.0,0.04770589376798562,0.5854778897482902
GROUP.N.01,2.0,projected_adam,0.00018007166686858736,2187.3333333333335,2374.222890407161,0.6666666666666666,1.6697848983760402,1.0267705971685548
GROUP.N.01,2.0,projected_sgd,0.14803834778271546,659.3333333333334,400.08040858474106,5.0,1.1569181223842648,0.9618620133648316
GROUP.N.01,2.0,radam,0.0058289318833485634,0.0,0.0,0.0,1.532417912150169,1.1318927366907399
GROUP.N.01,2.0,rsgd,0.15114970157582627,0.0,0.0,0.0,0.7863500730108877,1.1117227614546816
GROUP.N.01,2.0,sgd,0.0,0.0,0.0,0.0,0.0565862480809669,0.6035287306488802
GROUP.N.01,3.0,adam,0.0003839572694820831,0.0,0.0,0.0,0.018430523206992264,0.5633285921066999
GROUP.N.01,3.0,projected_adam,3.871613353808482e-05,0.0,0.0,0.0,0.23555205700645168,1.0454731478045385
GROUP.N.01,3.0,projected_sgd,2.6880452708639575e-06,307.6666666666667,305.6539437555703,2.3333333333333335,0.21963037413455386,0.9495872507492701
GROUP.N.01,3.0,radam,0.00012925849061735356,0.0,0.0,0.0,0.2375654384207686,1.1347282111334305
GROUP.N.01,3.0,rsgd,0.0021750086619238204,0.0,0.0,0.0,0.4156009446356996,1.0771184141437213
GROUP.N.01,3.0,sgd,0.0021511031282377864,0.0,0.0,0.0,0.04143187486972486,0.5438924930834522
GROUP.N.01,5.0,adam,0.0002660114931459873,0.0,0.0,0.0,0.023079768897998468,0.5854174185078591
GROUP.N.01,5.0,projected_adam,0.3124896554066672,11.333333333333334,19.629909152447276,0.0,0.6739395995306695,1.0348307287010055
GROUP.N.01,5.0,projected_sgd,0.3124297148059678,482.3333333333333,831.0994725863645,2.6666666666666665,0.3817564776640927,0.9928629472851753
GROUP.N.01,5.0,radam,5.0135757183053975e-05,0.0,0.0,0.0,0.5564023127067944,1.1366650263468425
GROUP.N.01,5.0,rsgd,0.0004634546602965454,0.0,0.0,0.0,0.4666257521565173,1.105827945129325
GROUP.N.01,5.0,sgd,0.006008249200791872,0.0,0.0,0.0,0.04155151579927115,0.5471302534764012
GROUP.N.01,10.0,adam,1.489935673254782e-06,0.0,0.0,0.0,0.0054434967978741165,0.5845074320677668
GROUP.N.01,10.0,projected_adam,3.3431619815699995e-06,0.0,0.0,0.0,0.07565206735291184,1.054194182002296
GROUP.N.01,10.0,projected_sgd,2.273793095498957e-06,0.0,0.0,0.0,0.05815284626880927,1.0492047940691311
GROUP.N.01,10.0,radam,5.6837033925950185e-06,0.0,0.0,0.0,0.0873815056262428,1.182882751027743
GROUP.N.01,10.0,rsgd,3.3660844017810905e-06,0.0,0.0,0.0,0.0794958045961183,1.135599589285751
GROUP.N.01,10.0,sgd,0.00013838201509929713,0.0,0.0,0.0,0.029524357613965015,0.5516545095015317
MAMMAL.N.01,2.0,adam,0.0,0.0,0.0,0.0,0.022291575169895914,1.2483052039994316
MAMMAL.N.01,2.0,projected_adam,0.21186664437660607,6396.0,550.010908982722,13.333333333333334,0.7747397781765694,1.9958873876797345
MAMMAL.N.01,2.0,projected_sgd,0.0,1581.3333333333333,1834.08324056825,9.666666666666666,0.39708335644266407,1.9169307793393575
MAMMAL.N.01,2.0,radam,0.009718691458095457,0.0,0.0,0.0,0.6178960918862925,1.9959373680176213
MAMMAL.N.01,2.0,rsgd,0.0,0.0,0.0,0.0,0.20801870519105903,1.7709786879907672
MAMMAL.N.01,2.0,sgd,0.0,0.0,0.0,0.0,0.027485655794926265,1.1084930918392881
MAMMAL.N.01,3.0,adam,0.0,0.0,0.0,0.0,0.020506178225678184,1.3177060936723137
MAMMAL.N.01,3.0,projected_adam,0.07123645570019908,2562.0,503.9116986139536,2.3333333333333335,0.29965073347409843,2.180717919002442
MAMMAL.N.01,3.0,projected_sgd,0.32071618862158024,4.666666666666667,6.429100507328637,0.0,0.2964980891183123,2.088061697994514
MAMMAL.N.01,3.0,radam,0.0012767493584977599,0.0,0.0,0.0,0.5309185588559094,2.3273914926782404
MAMMAL.N.01,3.0,rsgd,0.007265197812855953,0.0,0.0,0.0,0.21289881485841153,2.1524089439966096
MAMMAL.N.01,3.0,sgd,0.0,0.0,0.0,0.0,0.02767439849538475,1.1621555155046128
MAMMAL.N.01,5.0,adam,0.06250028199226973,0.0,0.0,0.0,0.017112697213449133,1.2117332228372106
MAMMAL.N.01,5.0,projected_adam,0.0016420591532328214,1482.6666666666667,1808.8121332336682,2.3333333333333335,0.2478029636285484,2.0133592876663897
MAMMAL.N.01,5.0,projected_sgd,0.3305248760777548,36.666666666666664,63.50852961085884,0.6666666666666666,0.303452309975923,2.003228662341523
MAMMAL.N.01,5.0,radam,0.025277542863813816,0.0,0.0,0.0,0.13291544863063923,2.3091093993377094
MAMMAL.N.01,5.0,rsgd,0.08902684570338507,0.0,0.0,0.0,0.16181379832958367,2.0317656230084444
MAMMAL.N.01,5.0,sgd,0.0,0.0,0.0,0.0,0.026910409805824265,1.194157727334338
MAMMAL.N.01,10.0,adam,0.022419570158196872,0.0,0.0,0.0,0.01165026074251685,1.1881120264927933
